"Title","By","FictionOrNon","Subjects","Height","Width","Depth","Shelf","From","Scans","BackedUp","CroppedP2","Notes","boxNumber","rowIndex","bookIndex"
"A Book of Promises","Elizabeth Laird","F","Children",30.8,0.9,26.2,"o1a","Schipper Estate","","","","",24,0,0
"A Bundle of Photographs","Unknown","NF","Sailing, History",31,7.5,25.5,"f1c","Fields","","","","",24,0,1
"The Wizard of Oz","L. Frank Baum","F","Fiction",34,1.3,24.8,"o1d","Schipper Estate","","","","",24,0,2
"The Metropolitan Museum of Art: Chanel","Harold Koda and Andrew Bolton","NF","Fashion",31,2.3,24.5,"f1c","Fields","","","","",24,0,3
"The Night Before Christmas","A Golden Book","F","Children",31.8,0.7,24.2,"o1d","Schipper Estate","","","","",24,0,4
"Huntingtonian: 1968","Huntington High School","NF","History",30.8,2.5,23.8,"o1d","Schipper Estate","","","","",24,0,5
"The Classic Rolls-Royce","G. N. Georgano","NF","Cars, History",30.8,1.2,23.8,"f1c","Fields","","","","",24,0,6
"1974 Skidmore Yearbook","Skidmore","NF","History",32.3,3.1,23.6,"o1d","Schipper Estate","","","","",24,0,7
"Canal Country","Emily Williams and Helen Cardamone","NF","History",31,1.7,23.6,"f1c","Fields","","","","",24,0,8
"The Gnomes Book of Christmas Crafts","Carol Endler Sterbeng","NF","Crafts",30.9,1.7,23.5,"o1a","Schipper Estate","","","","",24,0,9
"Madeline","Ludwig Bemelans","F","Children",30.9,1,23.5,"o1d","Schipper Estate","","","","",24,0,10
"Savoring France","Georgeanne Brennan","NF","Cooking",33.2,2.4,23.2,"f1c","Fields","","","","",24,0,11
"The New Yorker 75th Anniversary Cartoon Collection","Bob Mankoff","F","Social Commentary",31,3,23.2,"f1b","Fields","","","","",24,0,12
"Huntingtonian: 1970","Huntington High School","NF","History",31,2.9,23.1,"o1d","Schipper Estate","","","","",24,0,13
"Huntington In Our Time 1900-1975","Christopher R. Vagts","NF","History",30.4,0.3,23,"f1b","Fields","","","","",24,0,14
"The Night Before Christmas","Clement C. Moore","F","Children",30.1,0.7,23,"o1a","Schipper Estate","","","","",24,0,15
"The Handmade Alphabet","Laura Rankin","NF","American Sign Language",26.7,0.2,23,"o1c","Gareth","","","","",24,0,16
"Madeline: Edición en español","Ludwig Bemelans","F","Children",30.9,1,22.8,"o1d","Schipper Estate","","","","",24,0,17
"Madeline in London","Ludwig Bemelans","F","Children",30.9,1,22.8,"o1d","Schipper Estate","","","","",24,0,18
"Madeline's Resue","Ludwig Bemelans","F","Children",30.9,1,22.8,"o1d","Schipper Estate","","","","",24,0,19
"Madeline and the Gypsies","Ludwig Bemelans","F","Children",30.9,1,22.8,"o1d","Schipper Estate","","","","",24,0,20
"The Gift of the Magi","O. Henry","F","Fiction",34.2,0.7,21.1,"o1d","Schipper Estate","","","","",24,0,21
"Oxy-Acetylene Welding, Brazing, and Cutting For the Beginner","Union Carbide","NF","Metalworking",22.8,0.4,15.4,"o4b","Schipper Estate","","","","",24,1,0
"Kahlúa Recipe Book","Kahlúa","NF","Cooking",21.6,0.2,14.5,"o4c","Schipper Estate","","","","",24,1,1
"The Elements of Typographic Style","Robert Bringhurst","NF","Design",23.5,2.6,14.2,"o1b","Gareth","","","","",24,1,2
"The Winston Dictionary","TODO","NF","Reference",22,4.8,14,"f2c","Fields","","","","",24,1,3
"Mouse Soup","Arnold Lobel","F","Fiction",21.7,0.4,14,"b1c","Gareth","","","","",24,1,4
"New York Telephone Calling Guide and Personal Directory","New York Telephone","NF","History",21.5,0.4,14,"o5d","Schipper Estate","","","","",24,1,5
"Ourspace","Christine Harold","NF","Political Rhetoric, Media",23.2,1.8,13.9,"o1b","Gareth","","","","",24,1,6
"Old Harry's Dog-Watch","Des Sleightholme","F","Sailing, Humor",21.5,0.7,13.9,"f2d","Fields","","","","",24,1,7
"Easy Recipes for Elegant Entertaining","Shirley Shipley an Joanne van Roden","NF","Cooking",21.5,0.4,13.9,"o4c","Schipper Estate","","","","",24,1,8
"Whitman Apple Cook Book","Diane Churder, Eunice Halls, and Betsy Vondrasek","NF","Cooking",21.5,0.1,13.8,"o4c","Schipper Estate","","","","",24,1,9
"Christmas in the Good Old Days","Fred Weymer","F","Unknown",20.9,0.1,13.8,"o4a","Schipper Estate","","","","",24,1,10
"Guide To Growing and Caring For Dahlias","American Dahlia Society","NF","Gardening",21.6,0.5,13.7,"f1a","Fields","063/064","👍","","",24,1,11
"Desserts","Barbara K. Morgan","NF","Cooking",21.2,0.3,13.7,"o4c","Schipper Estate","","","","",24,1,12
"Seasonal Gifts from the Kitchen","Emily Crumpacker","NF","Cooking",21,1.3,13.6,"o4c","Schipper Estate","","","","",24,1,13
"The University of Oklahoma 120th Commencement Ceremony","The University of Oklahoma","NF","History",22.5,1.7,13.5,"o5f","Schipper Estate","","","","",24,1,14
"Confessions","Yachting Monthly","NF","Sailing, Humor",21.5,0.5,13.5,"o4c","Schipper Estate","","","","",24,1,15
"The Arts of the Sailor","Hervey Garrett Smith","NF","Sailing",21.2,1.2,13.4,"o1e","Gareth","","","","",24,1,16
"Sophocles 1","Sophocles","F","Fiction",22.1,1.8,13.3,"o4b","Schipper Estate","","","","",24,1,17
"The Ghosts of Nantucket (1)","Blue Balliet","F","Fiction",22,1,13.3,"f2e","Fields","","","","",24,1,18
"Principles of the Diesel Engine","L. H. Morrison","NF","Sailing",21,2,13.2,"o4c","Schipper Estate","","","","",24,1,19
"The Buchwald Stops Here","Art Buchwald","F","General Nonfiction",23.6,3,13.1,"o4d","Schipper Estate","","","","",24,1,20
"1973 Yacht Racing Rules: North American Yacht Racing Union","NAYRU","NF","Sailing",19,0.6,12.8,"f2e","Fields","","","","",24,1,21
"Control Communicable Diseases in Man","Abram S. Benenson","NF","Medical",19.6,1.5,12.4,"o5c","Schipper Estate","","","","",24,1,22
"The Greatest Thing in the World","Henry Drummond","F","Religious",18.9,0.9,12.4,"o5b","Schipper Estate","","","","",24,1,23
"The Garden Book","Wes Porter","NF","Gardening",17.6,0.5,12.1,"o4a","Schipper Estate","","","","",24,1,24
"Emerson","Ralph Waldo Emerson","F","Poetry",19.6,0.8,11.9,"o4a","Schipper Estate","","","","",24,1,25
"Hong Kong Culture and Shopping Highlights","Hullett House","NF","Travel",19.4,0.3,11.4,"o5b","Schipper Estate","","","","",24,1,26
"2000 Classification and Handbook of Dahlias","American Dahlia Society","NF","Gardening",19,1,11.4,"f1a","Fields","061/062","👍","","",24,1,27
"AAA United States, Country Series","AAA","NF","Map",21.4,0.3,10,"o1c","Gareth","","","","",24,1,28
"The Gardener's Helper","Organic Gardening","NF","Gardening",21.3,2.7,3.4,"f1a","Fields","073/074","👍","","",24,1,29
"The Complete Italian Vegetarian Cookbook","Jack Bishop","NF","Cooking",26.7,4.1,1.9,"o4f","Gareth","","","","",24,1,30
"Complete Pasta Cookbook","Williams-Sonoma","NF","Cooking",29.8,2.3,27.3,"o4f","Schipper Estate","","","","",5,0,0
"The 12 Metre Class","Luigi Lang and Dyer Jones","NF","Sailing",29,2,24.5,"f1b","Fields","","","","",5,0,1
"The World's Best Sailboats","Ferenc Maté","NF","Sailing",30.4,2.3,23.7,"f1b","Fields","","","","",5,0,2
"The Gettysburg Address","Abraham Lincoln","NF","History",28.9,0.3,23.6,"o5g","Schipper Estate","","","","",5,0,3
"Treasury of American Antiques","Clarence P. Hornung","NF","Art",30.7,2.2,23.5,"o1a","Schipper Estate","","","","",5,0,4
"The McGraw-Hill Encyclopedia of Space","McGraw-Hill","NF","Space",30.3,5.7,23.5,"o2","Gareth","","","","",5,0,5
"Bassoon Music","Various","NF","Music",30.5,1.6,23,"o1c","Gareth","","","","",5,0,6
"Long Island: People and Places Past and Present","Bernie Bookbinder","NF","History",30,2.8,23,"f1b","Fields","","","","",5,0,7
"The Holy Bible","King James Version","F","Religious",29.8,6,23,"f2b","Schipper Estate","","","","",5,0,8
"Norman Rockwell Illustrator","Arthur L. Guptill","NF","Art",30.5,2.3,22.8,"f1c","Fields","","","","",5,0,9
"Laser 112721","Unknown","NF","Sailing",30.2,1.5,22.5,"f1c","Fields","","","","",5,0,10
"Piloting, Seamanship, and Small Boat Handling","Charles F. Chapman","NF","Sailing",29.8,2.8,22.5,"f1c","Fields","","","","",5,0,11
"Piloting, Seamanship, and Small Boat Handling","Charles F. Chapman","NF","Sailing",29.7,4,22.2,"f1c","Fields","","","","",5,0,12
"The Four Seasons Cookbook","Charlotte Adams","NF","Cooking",29.8,3.2,21.7,"f1a","Fields","7736/7737","👍","","",5,0,13
"Sailing Theory and Practice","C. A. Marchaj","NF","Sailing",28.8,2.8,21.4,"f1b","Fields","","","","",5,0,14
"Christmas Decorations from Williamsburg's Folk Art Collection","TODO","NF","Art",28.8,1.2,21.2,"o1a","Schipper Estate","","","","",5,0,15
"The Ugly Duckling","Hans Chirstian Andersen","F","Children",29.1,1,21.1,"o1a","Schipper Estate","","","","",5,0,16
"Birds of America","T. Gilbert Pearson","NF","Birding",29,5,21,"f1a","Fields","7928/7929","👍","","",5,0,17
"Herbs","Golden Hands Books","NF","Gardening",29,0.9,20.9,"f1a","Fields","7720/7721","👍","","Extra pages in front, notes, materials",5,0,18
